,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
11-10-25-0.2,300,5,1004,3968,0.7,31,0.0,0.4,96.199407,96.199,0,1,1431,768,663,0.1,0,0.0,0.0,96.199407,96.199,0,1,1264,478,409,377
12-10-25-0.2,300,10,814,2756,1.3,67,0.0,0.6,121.767289,121.767,0,1,1704,833,871,0.5,6,0.0,0.0,121.767289,121.767,0,1,1884,612,484,788
13-10-25-0.2,300,30,902,3342,51.3,2198,0.0,1.2,200.248337,200.248,0,1,2939,1331,1608,1.6,66,0.0,0.3,200.248337,200.248,0,1,3003,866,510,1627
14-10-25-0.2,300,60,804,2722,TL,121745,0.1,0.9,247.404257,247.768,0,1,4546,1832,2714,11.1,632,0.0,0.2,247.419560,247.420,0,1,4601,1070,659,2872
15-10-25-0.2,300,100,910,3470,TL,19619,1.0,1.5,285.332348,288.190,0,1,6143,1897,4246,674.9,47690,0.0,0.4,286.007997,286.008,0,1,8110,1531,975,5604
16-10-25-0.2,400,5,1974,13784,4.9,69,0.0,2.7,181.420630,181.421,0,1,3725,1683,2042,2.0,19,0.0,0.6,181.420630,181.421,0,1,3879,1251,787,1841
17-10-25-0.2,400,10,1738,11266,105.3,3457,0.0,3.3,220.593928,220.594,0,1,7799,3110,4689,9.0,161,0.0,1.4,220.593527,220.594,0,1,6894,1786,1044,4064
18-10-25-0.2,400,40,1430,7758,TL,44533,1.6,2.9,307.841176,312.699,1,2,10223,3465,6758,671.9,9440,0.0,0.8,308.978211,308.978,0,1,14909,2357,1294,11258
19-10-25-0.2,400,80,1644,9618,TL,6636,1.1,1.6,374.371193,378.339,0,1,9003,3285,5718,394.1,8997,0.0,0.3,375.663114,375.663,0,1,11685,2144,1053,8488
20-10-25-0.2,400,133,1462,8014,TL,15626,0.2,0.3,396.838356,397.764,0,1,5227,1809,3418,1309.1,71591,0.0,0.1,397.156713,397.157,0,1,8527,1824,885,5818
